unix,player_elo,opp_elo,opp_name,opp_30d,elo_diff,color,player_acc,opp_acc,acc_diff,won,num_reque,time_since_prev,opp_num_reque,opp_time_since_prev
1696548255,1285,1299,Shinkymonkey,179,-14,False,75.14,65.4,9.739999999999995,1.0,16,524,1,511
1696549095,1293,1298,Blackjohn11,189,-5,False,70.63,79.98,-9.350000000000009,0.0,17,840,0,1387
1696549357,1285,1320,Pitorico53,124,-35,True,88.27,59.9,28.369999999999997,1.0,18,262,0,247585
1696550562,1294,1292,GaryStrudel1,134,2,True,77.85,67.76,10.08999999999999,1.0,19,1205,0,17397
1696560380,1302,1267,jacksontandy,834,35,False,82.47,77.62,4.849999999999994,,0,9818,0,1256
1696561046,1301,1274,patter1994,188,27,True,82.47,81.59,0.8799999999999955,,1,666,1,663
1696561845,1300,1300,MVB1980,98,0,True,66.51,73.18,-6.670000000000002,0.0,2,799,11,800
1696562383,1292,1246,sumitchu,252,46,True,80.01,75.84,4.170000000000002,1.0,3,538,2,620
1696563209,1299,1377,Rodan1099,119,-78,False,71.54,84.42,-12.879999999999995,0.0,4,826,0,6847
1696564230,1293,1343,Mercyisfortheweak,262,-50,True,76.89,64.14,12.75,1.0,5,1021,2,1022
1696565105,1302,1280,Jason191919,126,22,False,68.13,76.92,-8.790000000000006,0.0,6,875,1,852
1696566219,1293,1220,kulabinx123,99,73,False,64.75,73.98,-9.230000000000004,0.0,7,1114,0,16831
1696567322,1283,1247,jsb8GWG,230,36,False,71.89,77.18,-5.290000000000006,0.0,8,1103,3,1113
1696567860,1274,1269,IssaVukovic,577,5,True,75.56,66.34,9.219999999999999,1.0,9,538,0,4691
1696568812,1282,1308,Dragonzee1952,370,-26,True,61.89,69.04,-7.150000000000006,0.0,10,952,1,938
1696569539,1275,1250,strip_me,152,25,False,66.53,72.72,-6.189999999999998,0.0,11,727,0,79384
1696569907,1266,1296,Enphoa,84,-30,True,86.94,67.96,18.980000000000004,1.0,12,368,2,561
1696570748,1275,1183,gautamdas9669,161,92,False,91.26,80.56,10.700000000000003,1.0,13,841,0,42841
1696571334,1281,1303,Dunpeal80,1071,-22,True,70.55,64.9,5.6499999999999915,1.0,14,586,3,582
1696572378,1290,1257,Mikepedia907,202,33,True,66.49,76.21,-9.719999999999999,0.0,15,1044,0,53722
1696572618,1281,1233,bootypirate99,674,48,True,73.7,65.97,7.730000000000004,1.0,16,240,1,242
1696573636,1288,1305,ThatDamnOldCat,752,-17,False,60.0,67.53,-7.530000000000001,0.0,17,1018,2,1017
1696574710,1280,1291,prasunsurana,130,-11,False,69.2,65.22,3.980000000000004,1.0,18,1074,1,1077
1696574900,1288,1320,Dimash989898,265,-32,True,68.75,72.34,-3.5900000000000034,0.0,19,190,0,9842
1696575830,1281,1300,FatlessTrain,378,-19,True,70.55,67.77,2.780000000000001,1.0,20,930,3,1071
1696577165,1289,1284,Mac_Ariel,928,5,False,88.09,88.04,0.04999999999999716,,0,1335,3,1166
1696577749,1289,1302,Hakeem70,1,-13,False,66.78,68.9,-2.1200000000000045,1.0,1,584,0,0
1696610932,1298,1279,Corredor1958,416,19,True,63.37,72.35,-8.979999999999997,0.0,0,33183,11,870
1696611217,1290,1314,LilJiggyBoyTypeBeats,257,-24,False,59.91,73.41,-13.5,0.0,1,285,4,285
1696612333,1283,1291,pierrettegrant,321,-8,False,71.78,71.53,0.25,1.0,2,1116,0,20609
1696613455,1291,1283,LinoleumBlownapart,691,8,True,67.91,61.3,6.609999999999999,1.0,3,1122,4,1056
1696614749,1299,1353,Elo967,414,-54,True,77.09,84.88,-7.789999999999992,0.0,0,1294,0,2238
1696615411,1292,1276,PURAVIDALOBO,245,16,True,66.02,70.43,-4.410000000000011,,1,662,0,1550
1696615632,1292,1244,Biglon2,297,48,False,72.16,91.3,-19.14,0.0,2,221,11,223
1696616275,1283,1308,Hawk042,478,-25,True,67.91,66.07,1.8400000000000034,0.0,3,643,3,952
1696617538,1276,1251,MMMagdy74,210,25,False,75.02,77.28,-2.260000000000005,1.0,0,1263,0,3897
1696618322,1283,1280,rune0714,296,3,True,62.87,66.79,-3.920000000000009,0.0,1,784,8,562
1696618896,1275,1242,itssdreww,124,33,False,81.38,72.85,8.530000000000001,1.0,2,574,1,575
1696620057,1282,1294,tiitzir1,47,-12,False,67.43,61.05,6.38000000000001,1.0,3,1161,1,1154
1696621155,1290,1277,viveksk0,291,13,False,65.21,68.9,-3.690000000000012,0.0,4,1098,1,986
1696621740,1282,1267,ajbeliveau,161,15,True,72.82,70.46,2.3599999999999994,1.0,5,585,0,22518
1696622126,1290,1315,tallman617,417,-25,True,76.03,73.71,2.3200000000000074,1.0,6,386,0,14594
1696622680,1299,1297,Chesssticles6942069,74,2,False,77.89,71.84,6.049999999999997,1.0,7,554,2,583
1696623655,1307,1350,BZebra26,113,-43,True,79.29,82.89,-3.5999999999999943,1.0,8,975,5,890
1696624122,1316,1326,BennyMakomo,288,-10,True,85.07,86.75,-1.6800000000000068,1.0,9,467,0,2285
1696625277,1324,1311,GabrieleSlutzky,588,13,True,80.21,85.3,-5.090000000000003,0.0,10,1155,0,15215
1696625708,1316,1327,mich_al,259,-11,True,50.62,61.78,-11.160000000000004,0.0,11,431,0,24066
1696626173,1308,1314,drmeranti,487,-6,False,87.67,75.6,12.070000000000007,1.0,12,465,0,17124
1696627100,1316,1257,mblain7,159,59,False,80.03,79.29,0.7399999999999949,1.0,13,927,1,920
1696633725,1323,1335,JoeTr24,304,-12,False,78.7,83.36,-4.659999999999997,0.0,0,6625,1,1121
1696634370,1315,1302,aplaceformyhead,85,13,True,80.98,71.47,9.510000000000005,1.0,1,645,2,953
1696635479,1323,1302,Ruben1960,1104,21,False,71.24,71.81,-0.5700000000000074,0.0,2,1109,2,1103
1696635847,1315,1315,vladyslavsushko,148,0,False,72.19,84.42,-12.230000000000004,0.0,3,368,2,331
1696636380,1307,1267,Coffeeguyzz,402,40,False,81.15,73.09,8.060000000000002,1.0,4,533,2,544
1696637138,1314,1360,downinch,550,-46,True,61.12,71.32,-10.199999999999996,0.0,5,758,1,800
